PORTAL INFOCURSOS;;;;;;;;;;;;
;;;;;;;;;;;;
5) Distribuição dos alunos inscritos por sexo;;;;;;;;;;;;
;;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroInscritos;NumeroHomens;NumeroMulheres;AnoLetivo
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Tecnologia e Arte Digital;6380;Mestrado 2.º ciclo;1;1;0;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Direito Administrativo;6402;Mestrado 2.º ciclo;46;18;28;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ensino de Matemática no 3.º C. do Ensino Básico e no Secundário;6451;Mestrado 2.º ciclo;10;3;7;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ensino de Educação Física nos Ensinos Básico e Secundário;6454;Mestrado 2.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ensino de Filosofia no Ensino Secundário;6459;Mestrado 2.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ensino de Inglês e de Espanhol no 3.º Ciclo do Ensino Básico e no Ensino Secundário;6461;Mestrado 2.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Design e Marketing;6682;Mestrado 2.º ciclo;35;15;20;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Humana;6683;Mestrado 2.º ciclo;23;9;14;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Estudos da Criança;6684;Mestrado 2.º ciclo;24;1;23;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Sistemas de Informação;6686;Mestrado 2.º ciclo;54;36;18;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ciências da Linguagem;6703;Mestrado 2.º ciclo;18;8;10;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Urbana;6711;Mestrado 2.º ciclo;35;24;11;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Mecatrónica;6775;Mestrado 2.º ciclo;48;44;4;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Estudos Interculturais Português/Chinês:Tradução, Formação e Comunicação Empresarial;6823;Mestrado 2.º ciclo;50;14;36;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Negócios Internacionais;6873;Mestrado 2.º ciclo;35;17;18;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Políticas Comunitárias e Cooperação Territorial;6879;Mestrado 2.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia de Sistemas;6881;Mestrado 2.º ciclo;56;33;23;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Optometria Avançada;6883;Mestrado 2.º ciclo;47;8;39;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Micro/Nano Tecnologias;6884;Mestrado 2.º ciclo;19;8;11;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Construção e Reabilitação Sustentáveis;6885;Mestrado 2.º ciclo;37;18;19;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Educação Pré-Escolar;6914;Mestrado 2.º ciclo;32;1;31;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Educação Pré-Escolar e Ensino do 1.º Ciclo do Ensino Básico;6915;Mestrado 2.º ciclo;48;3;45;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Bioquímica Aplicada;6967;Mestrado 2.º ciclo;19;7;12;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Marketing (regime pós-laboral);8005;Licenciatura 1.º ciclo;200;79;121;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Têxtil (regime pós-laboral);8090;Mestrado Integrado;12;10;2;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Música (regime pós-laboral);8091;Licenciatura 1.º ciclo;165;81;84;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Geografia e Planeamento;8183;Licenciatura 1.º ciclo;115;67;48;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Optometria e Ciências da Visão;8184;Licenciatura 1.º ciclo;189;52;137;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Direito (regime pós-laboral);8358;Licenciatura 1.º ciclo;110;44;66;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ciência Política (regime pós-laboral);8425;Licenciatura 1.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ciências do Ambiente (regime pós-laboral);8426;Licenciatura 1.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Educação (regime pós-laboral);8427;Licenciatura 1.º ciclo;77;10;67;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Estudos Culturais (regime pós-laboral);8428;Licenciatura 1.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Línguas e Literaturas Europeias (regime pós-laboral);8429;Licenciatura 1.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Geologia (regime pós-laboral);8432;Licenciatura 1.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Negócios Internacionais (regime pós-laboral);8433;Licenciatura 1.º ciclo;112;62;50;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Design de Produto;8494;Licenciatura 1.º ciclo;119;52;67;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Administração Pública;9002;Licenciatura 1.º ciclo;147;63;84;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Arqueologia;9006;Licenciatura 1.º ciclo;53;28;25;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Biologia e Geologia;9012;Licenciatura 1.º ciclo;145;78;67;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Bioquímica;9015;Licenciatura 1.º ciclo;188;62;126;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ciência Política;9019;Licenciatura 1.º ciclo;109;46;63;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ciências da Comunicação;9023;Licenciatura 1.º ciclo;246;66;180;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Contabilidade;9056;Licenciatura 1.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Direito;9078;Licenciatura 1.º ciclo;609;187;422;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Economia;9081;Licenciatura 1.º ciclo;297;144;153;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Estudos Culturais;9134;Licenciatura 1.º ciclo;59;21;38;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Filosofia;9139;Licenciatura 1.º ciclo;78;32;46;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Física;9141;Licenciatura 1.º ciclo;75;54;21;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Geologia;9146;Licenciatura 1.º ciclo;54;39;15;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Gestão;9147;Licenciatura 1.º ciclo;298;121;177;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;História;9181;Licenciatura 1.º ciclo;132;80;52;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Línguas Aplicadas;9192;Licenciatura 1.º ciclo;162;25;137;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Línguas e Literaturas Europeias;9195;Licenciatura 1.º ciclo;209;68;141;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Marketing;9205;Licenciatura 1.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Matemática;9209;Licenciatura 1.º ciclo;82;30;52;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Música;9214;Licenciatura 1.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Química;9223;Licenciatura 1.º ciclo;56;18;38;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Relações Internacionais;9229;Licenciatura 1.º ciclo;270;105;165;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Sociologia;9240;Licenciatura 1.º ciclo;193;48;145;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Teatro;9243;Licenciatura 1.º ciclo;69;26;43;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Arquitectura;9257;Mestrado Integrado;366;173;193;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Bioinformática;9264;Mestrado 2.º ciclo;64;36;28;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ciência Política;9267;Mestrado 2.º ciclo;33;17;16;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ciências da Comunicação;9272;Mestrado 2.º ciclo;77;26;51;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Economia;9280;Mestrado 2.º ciclo;26;13;13;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Educação;9281;Mestrado 2.º ciclo;77;11;66;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Informática;9286;Mestrado 2.º ciclo;88;75;13;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Finanças;9294;Mestrado 2.º ciclo;49;33;16;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Gestão Ambiental;9296;Mestrado 2.º ciclo;14;3;11;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Gestão de Recursos Humanos;9299;Mestrado 2.º ciclo;52;10;42;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Relações Internacionais;9329;Mestrado 2.º ciclo;44;13;31;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Sociologia;9333;Mestrado 2.º ciclo;38;10;28;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Educação;9353;Licenciatura 1.º ciclo;142;21;121;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Biológica;9358;Mestrado Integrado;211;47;164;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Biomédica;9359;Mestrado Integrado;367;131;236;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Civil;9360;Mestrado Integrado;272;206;66;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia de Materiais;9363;Mestrado Integrado;89;47;42;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia de Polímeros;9364;Mestrado Integrado;190;109;81;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Electrónica Industrial e Computadores;9366;Mestrado Integrado;484;434;50;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Física;9368;Mestrado Integrado;125;101;24;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Mecânica;9369;Mestrado Integrado;537;447;90;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Têxtil;9371;Mestrado Integrado;101;37;64;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ciências do Ambiente;9379;Licenciatura 1.º ciclo;87;43;44;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Estatística Aplicada;9381;Licenciatura 1.º ciclo;66;31;35;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ciências da Computação;9397;Licenciatura 1.º ciclo;263;227;36;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Biotecnologia;9399;Mestrado 2.º ciclo;39;12;27;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ecologia;9408;Mestrado 2.º ciclo;7;5;2;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Design e Marketing de Moda;9499;Licenciatura 1.º ciclo;92;4;88;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia e Gestão Industrial;9509;Mestrado Integrado;413;204;209;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Psicologia;9555;Mestrado Integrado;409;80;329;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Industrial;9572;Mestrado 2.º ciclo;128;53;75;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Física;9657;Mestrado 2.º ciclo;21;18;3;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Educação Especial;9665;Mestrado 2.º ciclo;48;3;45;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Biologia Aplicada;9688;Licenciatura 1.º ciclo;183;81;102;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Negócios Internacionais;9785;Licenciatura 1.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Medicina;9813;Mestrado Integrado;815;230;585;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Artes Visuais;9817;Licenciatura 1.º ciclo;25;5;20;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Educação Básica;9853;Licenciatura 1.º ciclo;140;9;131;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Contabilidade (regime pós-laboral);9869;Licenciatura 1.º ciclo;159;65;94;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Estudos Portugueses;9917;Licenciatura 1.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia e Gestão de Sistemas de Informação;G001;Mestrado Integrado;614;428;186;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia e Gestão de Sistemas de Informação (regime pós-laboral);G002;Mestrado Integrado;148;121;27;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia Informática;G005;Mestrado Integrado;959;814;145;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia de Telecomunicações e Informática;G007;Mestrado Integrado;178;151;27;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Criminologia e Justiça Criminal;L078;Licenciatura 1.º ciclo;88;16;72;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Proteção Civil e Gestão do Território;L112;Licenciatura 1.º ciclo;20;14;6;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Estudos Orientais: Estudos Chineses e Japoneses;L147;Licenciatura 1.º ciclo;110;32;78;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ensino de Informática;M112;Mestrado 2.º ciclo;8;6;2;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Química Têxtil;M136;Mestrado 2.º ciclo;11;3;8;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Direito dos Contratos e da Empresa;M171;Mestrado 2.º ciclo;57;15;42;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Direito da União Europeia;M172;Mestrado 2.º ciclo;41;18;23;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Direito Tributário e Fiscal;M173;Mestrado 2.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Economia Monetária, Bancária e Financeira;M174;Mestrado 2.º ciclo;44;20;24;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Economia Industrial e da Empresa;M175;Mestrado 2.º ciclo;50;26;24;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Tradução e Comunicação Multilingue;M177;Mestrado 2.º ciclo;55;15;40;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ciências da Saúde;M178;Mestrado 2.º ciclo;19;5;14;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Biofísica e Bionanossistemas;M386;Mestrado 2.º ciclo;17;8;9;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Português Língua Não-Materna - Português Língua Estrangeira e Líng Segunda;M423;Mestrado 2.º ciclo;27;3;24;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Design de Comunicação de Moda;M473;Mestrado 2.º ciclo;51;1;50;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Biologia Molecular, Biotecnologia e Bioempreendedorismo em Plantas;M484;Mestrado 2.º ciclo;17;5;12;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Crime, Diferença e Desigualdade;M519;Mestrado 2.º ciclo;50;4;46;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ensino de Música;M527;Mestrado 2.º ciclo;92;53;39;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Comunicação, Arte e Cultura;M559;Mestrado 2.º ciclo;28;6;22;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Direito e Informática;M562;Mestrado 2.º ciclo;44;24;20;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ciências - Formação Contínua de Professores;M567;Mestrado 2.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ciências e Tecnologias do Ambiente;M570;Mestrado 2.º ciclo;29;18;11;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Direito dos Negócios Europeu e Transnacional;M603;Mestrado 2.º ciclo;9;4;5;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Estudos de Gestão;M630;Mestrado 2.º ciclo;54;18;36;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Marketing e Estratégia;M631;Mestrado 2.º ciclo;47;14;33;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Filosofia Política;M679;Mestrado 2.º ciclo;1;0;1;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Espanhol Língua Segunda e Língua Estrangeira;M683;Mestrado 2.º ciclo;15;1;14;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Lexicografia (Mestrado Europeu);M685;Mestrado 2.º ciclo;7;0;7;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Sustentabilidade do Ambiente Construído;M694;Mestrado 2.º ciclo;11;6;5;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Psicologia Aplicada;M701;Mestrado 2.º ciclo;29;6;23;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Tecnologia e Ciência Alimentar;M702;Mestrado 2.º ciclo;50;9;41;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia e Gestão da Qualidade;M706;Mestrado 2.º ciclo;53;25;28;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Direito das Crianças, Família e Sucessões;M710;Mestrado 2.º ciclo;35;5;30;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia do Produto;M711;Mestrado 2.º ciclo;28;15;13;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Teoria da Literatura e Literaturas Lusófonas;M725;Mestrado 2.º ciclo;21;9;12;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Gestão de Projetos de Engenharia;M736;Mestrado 2.º ciclo;52;27;25;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Estudos Luso-Alemães;M742;Mestrado 2.º ciclo;8;1;7;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Engenharia de Redes e Serviços Telemáticos;M779;Mestrado 2.º ciclo;12;12;0;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ensino do 1.º Ciclo do Ensino Básico e de Português e História e Geografia de Portugal no 2.º Ciclo do Ensino Básico;M793;Mestrado 2.º ciclo;7;0;7;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Património Histórico e Turismo Cultural;M801;Mestrado 2.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ensino de História no 3.º Ciclo do Ensino Básico e no Ensino Secundário;M812;Mestrado 2.º ciclo;21;8;13;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ensino de Português e de Língua Estrangeira no 3.º Ciclo do Ensino Básico e no Ensino Secundário, nas áreas de especialização de Espanhol ou de Inglês;M813;Mestrado 2.º ciclo;;;;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ensino do 1.º Ciclo do Ensino Básico e de Matemática e Ciências Naturais no 2.º Ciclo do Ensino Básico;M814;Mestrado 2.º ciclo;29;5;24;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Ensino de Inglês no 1.º Ciclo do Ensino Básico;M852;Mestrado 2.º ciclo;20;3;17;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Temas de Psicologia da Educação;M906;Mestrado 2.º ciclo;20;4;16;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Direito Tributário;M915;Mestrado 2.º ciclo;58;20;38;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Design e Marketing de Produto Têxtil, Vestuário e Acessórios;M931;Mestrado 2.º ciclo;34;3;31;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Património Cultural;M953;Mestrado 2.º ciclo;45;10;35;2018/19
Universidade do Minho;1000;Universidade do Minho;1000;Publico;Universitario;Humanidades Digitais;MA06;Mestrado 2.º ciclo;17;10;7;2018/19
Universidade do Porto;1100;Faculdade de Ciências da Nutrição e da Alimentação;1101;Publico;Universitario;Nutrição Clínica;6199;Mestrado 2.º ciclo;18;2;16;2018/19
Universidade do Porto;1100;Faculdade de Ciências da Nutrição e da Alimentação;1101;Publico;Universitario;Alimentação Colectiva;6265;Mestrado 2.º ciclo;1;0;1;2018/19
Universidade do Porto;1100;Faculdade de Ciências da Nutrição e da Alimentação;1101;Publico;Universitario;Ciências da Nutrição;9554;Licenciatura 1.º ciclo;337;27;310;2018/19
Universidade do Porto;1100;Faculdade de Arquitetura;1102;Publico;Universitario;Arquitectura;9257;Mestrado Integrado;846;356;490;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Astronomia;6016;Mestrado 2.º ciclo;;;;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Astronomia e Astrofísica;6017;Mestrado 2.º ciclo;10;10;0;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Biodiversidade, Genética e Evolução;6020;Mestrado 2.º ciclo;16;5;11;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Biologia Celular e Molecular;6022;Mestrado 2.º ciclo;37;15;22;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Biologia e Gestão da Qualidade da Água;6023;Mestrado 2.º ciclo;18;9;9;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Ciência de Computadores;6026;Mestrado 2.º ciclo;34;30;4;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Engenharia Geográfica;6093;Mestrado 2.º ciclo;3;2;1;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Engenharia Matemática;6094;Mestrado 2.º ciclo;29;16;13;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Geomateriais e Recursos Geológicos;6136;Mestrado 2.º ciclo;17;12;5;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Recursos Biológicos Aquáticos;6232;Mestrado 2.º ciclo;23;9;14;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Ciências e Tecnologia do Ambiente;6278;Mestrado 2.º ciclo;33;14;19;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Genética Forense;6306;Mestrado 2.º ciclo;16;1;15;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Matemática para Professores;6341;Mestrado 2.º ciclo;5;3;2;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Ensino de Biologia e Geologia no 3.º Ciclo do Ensino Básico e no Ensino Secundário;6449;Mestrado 2.º ciclo;11;3;8;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Ensino de Matemática no 3.º C. do Ensino Básico e no Secundário;6451;Mestrado 2.º ciclo;16;6;10;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Ensino de Física e de Química no 3º Ciclo do Ensino Básico e no Ensino Secundário;6452;Mestrado 2.º ciclo;8;2;6;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Física Médica;6468;Mestrado 2.º ciclo;15;7;8;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Ciências do Consumo e Nutrição;6469;Mestrado 2.º ciclo;27;1;26;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Física e Química em Contexto Escolar;6490;Mestrado 2.º ciclo;1;1;0;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Viticultura e Enologia;6631;Mestrado 2.º ciclo;;;;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Bioinformática e Biologia Computacional;6888;Mestrado 2.º ciclo;20;11;9;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Geologia;6933;Mestrado 2.º ciclo;31;15;16;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Segurança Informática;6955;Mestrado 2.º ciclo;31;28;3;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Arquitectura Paisagista;6998;Mestrado 2.º ciclo;47;15;32;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Arquitectura Paisagista;8258;Licenciatura 1.º ciclo;89;42;47;2018/19
Universidade do Porto;1100;Faculdade de Ciências;1103;Publico;Universitario;Biologia;9011;Licenciatura 1.º ciclo;519;223;296;2018/19
