PORTAL INFOCURSOS;;;;;;;;;;;;
;;;;;;;;;;;;
5) Distribuição dos alunos inscritos por sexo;;;;;;;;;;;;
;;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroInscritos;NumeroHomens;NumeroMulheres;AnoLetivo
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Ciências Biomédicas;9512;Mestrado 2.º ciclo;5;1;4;2018/19
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Geologia do Ambiente e Sociedade;M586;Mestrado 2.º ciclo;5;2;3;2018/19
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Ordenamento do Espaço Marítimo (Erasmus Mundus);M688;Mestrado 2.º ciclo;18;10;8;2018/19
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Biodiversidade e Biotecnologia;M815;Mestrado 2.º ciclo;6;2;4;2018/19
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Economia;9081;Licenciatura 1.º ciclo;70;42;28;2018/19
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Gestão;9147;Licenciatura 1.º ciclo;240;120;120;2018/19
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Turismo;9254;Licenciatura 1.º ciclo;122;51;71;2018/19
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Gestão de Empresas;9298;Mestrado 2.º ciclo;25;14;11;2018/19
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Ciências Económicas e Empresariais;M149;Mestrado 2.º ciclo;142;61;81;2018/19
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Gestão do Turismo Internacional;M700;Mestrado 2.º ciclo;24;11;13;2018/19
Universidade do Algarve;0200;Universidade do Algarve;0200;Publico;Universitario;Ciências Biomédicas;9351;Licenciatura 1.º ciclo;165;40;125;2018/19
Universidade do Algarve;0200;Universidade do Algarve;0200;Publico;Universitario;Oncobiologia - Mecanismos Moleculares do Cancro;M687;Mestrado 2.º ciclo;33;8;25;2018/19
Universidade do Algarve;0200;Universidade do Algarve;0200;Publico;Universitario;Ciências Biomédicas - Mecanismos de Doença;MA25;Mestrado 2.º ciclo;11;4;7;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Arqueologia;6011;Mestrado 2.º ciclo;8;5;3;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Ciências da Educação;6031;Mestrado 2.º ciclo;19;7;12;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Comunicação, Cultura e Artes;6281;Mestrado 2.º ciclo;3;1;2;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia da Educação;6326;Mestrado 2.º ciclo;29;7;22;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia Clínica e da Saúde;6386;Mestrado 2.º ciclo;59;2;57;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Ciências da Linguagem;6703;Mestrado 2.º ciclo;3;0;3;2018/19
